pays,id_pays
,0
Andorre,1
Croatie,2
Thaïlande,3
Espagne,4
Singapour,5
Guadeloupe,6
Nouvelle-Calédonie,7
La Réunion,8
Malte,9
Côte-d'Ivoire,10
Liban,11
Roumanie,12
Slovénie,13
Grèce,14
Australie,15
Mexique,16
Jersey,17
Algérie,18
Norvège,19
Chili,20
Madagascar,21
Afrique du Sud,22
Émirats arabes unis,23
Kosovo,24
Nigeria,25
Suède,26
Japon,27
Moldavie,28
Finlande,29
Allemagne,30
Chypre,31
Costa Rica,32
Bénin,33
Islande,34
Cameroun,35
Djibouti,36
Azerbaïdjan,37
Laos,38
Iran,39
Namibie,40
Pays-Bas,41
Aruba,42
Slovaquie,43
Arabie saoudite,44
Mozambique,45
Portugal,46
Tunisie,47
Corée du Sud,48
France,49
Sri Lanka,50
Monaco,51
Lituanie,52
Ukraine,53
Autriche,54
République tchèque,55
Venezuela,56
Inde,57
Lettonie,58
Colombie,59
Jordanie,60
Suisse,61
Israël,62
Kazakhstan,63
Île Maurice,64
Philippines,65
Albanie,66
Royaume-Uni,67
Luxembourg,68
Irlande,69
Géorgie,70
Bahreïn,71
"Abkhazie, ​Géorgie",72
Martinique,73
Honduras,74
Angola,75
Danemark,76
Qatar,77
Pérou,78
Belgique,79
Mayotte,80
Panama,81
Koweït,82
Saint-Martin (Antilles françaises),83
Pologne,84
Uruguay,85
Argentine,86
Égypte,87
Canada,88
Nouvelle-Zélande,89
Italie,90
Serbie,91
Bosnie-Herzégovine,92
Guyane française,93
Estonie,94
Russie,95
Porto Rico,96
Malaisie,97
Chine,98
Crimée,99
Polynésie française,100
Saint-Barthélemy,101
Hongrie,102
Taïwan,103
Turquie,104
Oman,105
Pakistan,106
Brésil,107
États-Unis,108
Gibraltar,109
Irak,110
Indonésie,111
Hong Kong,112
Maroc,113
Bulgarie,114
Brunei,115
