,0,1,2,3,4,5,6,7
0,Maxime,10.0,Finlande,Exceptionnel,C'était propre et agréable et le thème est respecté !,Dommage de ne pas avoir vue Woody ou un autre personnage 😔,Mars 2022,Commentaire envoyé le 6 mars 2022
1,Wilfrid,7.0,La Réunion,Bien,,L'éloignement de la chambre par rapport à la voiture,Janvier 2023,Commentaire envoyé le 11 janvier 2023
2,Elodie,9.0,France,Je recommande,"Nous sommes venus pour fêter notre Mariage et nous avons eu de petites intentions à notre arrivée. Le cadre et le calme étaient parfait, je recommande vivement cette hôtel","La machine à café était sans gobelets, le personnel nous a conseillé de changé de bâtiment sauf que dans l'autre machine il n'y avait que des expressos",Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Domitille,8.0,France,Hôtel et chambre sympa mais le ménage laisse à désirer :(,"Hôtel très sympa, la décoration des chambres est vraiment top Les castmembers toujours aussi sympathiques","Le ménage n'était pas très bien fait dans la chambre, il restait des cacahuètes sur le sol :( Il y avait également une odeur de tabac froid dans la salle de bain, pour un hôtel non fumeur, ce n'est pas top... Et la porte de la chambre claquait dès que la porte menant vers l'extérieur était ouverte, donc le matin nous avons été réveillé dès 7h du matin par les vas et viens dans le couloir :(",Janvier 2023,Commentaire envoyé le 9 janvier 2023
4,Jessica,8.0,Espagne,Très bien,"L hôtel est super , la décoration est magnifique,  le lit super confortable et le personnel très aimable. Situé prés des parques avec navettes, très agréable.",Je n ai pas de points négatifs à dire.,Janvier 2023,Commentaire envoyé le 8 janvier 2023
5,Aurelie,7.0,France,Bien,c’est proche de Disney,c’est cher,Décembre 2022,Commentaire envoyé le 4 janvier 2023
6,Emmanuelle,9.0,France,On a passé un très bon moment !!,proximité du parc. décoration. propreté de la chambre. literie. calme,la ventilation du chauffage qui faisait du bruit.,Janvier 2023,Commentaire envoyé le 3 janvier 2023
7,Emile,7.0,France,Pratique mais onéreux,Emplacement à proximité du parc : top  Navettes gratuites et à bonne fréquence pour se rendre au parc. Chambre spacieuse et confortable,"Prix exorbitant - mais c’est Disney, on le sait en réservant. Offre restauration dans l’hôtel trop réduite.",Décembre 2022,Commentaire envoyé le 3 janvier 2023
8,Contant,8.0,France,Très bien,"Personnelle très agréable , a répondu à toutes mes questions . Ce n'est pas le plus chère , mais nous met bien dans l'ambiance. Très bien. Limite mieux que le Parc. Merci a tous.",Manque un peu d'insonorisation et malheureusement pour moi les rideaux ne sont pas assez occultant.,Décembre 2022,Commentaire envoyé le 30 décembre 2022
9,Nicaise,7.0,La Réunion,peut mieux faire,bonne décoration,très livrer à nous même pour arriver dans la chambre,Décembre 2022,Commentaire envoyé le 30 décembre 2022
