,0,1,2,3,4,5,6,7
0,Gwendolyne,10.0,Polynésie française,Idéal pour les familles nombreuses !,"Logement idéal pour les familles nombreuses, proximité du parc Disneyland et heures de magie en plus","12 euros pour un ""petit déjeuner "" composé d'un sachet de thé,  de 2 mini (mais alors vraiment mini) viennoiseries et une mini pain de 10 cm de long, avec 2 confitures et nutella. C'est excessivement cher pour ce que c'est !  Isolation pas au top... les terrasses donnent sur les chambres des autres bungalows et quand un groupe de jeunes décide de boire jusqu'à finir leur bouteille de whisky et papoter sur leur terrasse jusque minuit passé, pas cool pour les autres résidents des bungalows car on entend tout.",Août 2021,Commentaire envoyé le 27 septembre 2021
1,Tatiana,8.0,France,Très bien,,"nous étions à la base logé au fin fond de l’établissement c’est à dire à 30/40 min à pieds alors que n’avons pas de véhicule nous sommes venus en avion , du coup nous avons étés relogés à proximité de l’établissement principal mais nous avons dû débourser 50€ supplémentaires",Janvier 2023,Commentaire envoyé le 11 janvier 2023
2,Celine,8.0,France,Personnel au top mais literie pourrie,Piscine magnifique avec un personnel vraiment au top de la gentillesse et de la sympathie. Bungalow calme,"La literie vraiment horrible ,les matelas dur comme une planche et les sommiers font un boucan pas possible quand on bouge.cest vraiment dommage d'avoir passer des nuits à pas dormir",Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Rivière,7.0,La Réunion,Bien,"Nous avons aimé l'emplacement, près du parc Disney. L'ambiance, la salle d'arcade et surtout la piscine. Le bungalow est assez bien équipé.","Le bungalow n'est pas vraiment propre, et surtout la vaisselle. Le 4eme petit lit est un lit de camp.",Janvier 2023,Commentaire envoyé le 10 janvier 2023
4,Virginie,8.0,Belgique,nikel ❤️,tout endroit tellement agréable !,"les lits, beaucoup de bruit quand on se retourne et le lit n’est pas droit la tête penche vers l’avant ..",Janvier 2023,Commentaire envoyé le 10 janvier 2023
5,Julie,9.0,Belgique,Fabuleux,"Tout était très propre et très calme. Il y a tout ce dont on a besoin.  C était spacieux.  Il y avait 2 salle de bain, elle était très propre. Franchement c était un chouette séjour.",Le lit un peux trop dur à mon goût. Mais cela ne m empêchera pas de revenir.,Janvier 2023,Commentaire envoyé le 10 janvier 2023
6,Cedric,7.0,France,séjour agréable et au calme,la localisation et le calme,le manque de chauffage a l’arrivée le manque de confort de la literie,Novembre 2022,Commentaire envoyé le 10 janvier 2023
7,Morgane,8.0,Belgique,magique,la possibilité de cuisiner et d’être à plusieurs,la literie,Janvier 2023,Commentaire envoyé le 9 janvier 2023
8,Enrico,8.0,Belgique,Très bien,Super,Tres jolie domaine,Janvier 2023,Commentaire envoyé le 9 janvier 2023
9,Julien,8.0,Belgique,Tres bon séjour,L'emplacement était fidèle à la description,La poussière sous la hotte,Janvier 2023,Commentaire envoyé le 9 janvier 2023
