Prenom,Note,Pays,Titre,Positif,Négatif,Date séjour,Date commentaire,hotel
Maxime,10.0,Finlande,Exceptionnel,C'était propre et agréable et le thème est respecté !,Dommage de ne pas avoir vue Woody ou un autre personnage 😔,Mars 2022,Commentaire envoyé le 6 mars 2022,cheyenne
Wilfrid,7.0,La Réunion,Bien,,L'éloignement de la chambre par rapport à la voiture,Janvier 2023,Commentaire envoyé le 11 janvier 2023,cheyenne
Elodie,9.0,France,Je recommande,"Nous sommes venus pour fêter notre Mariage et nous avons eu de petites intentions à notre arrivée. Le cadre et le calme étaient parfait, je recommande vivement cette hôtel","La machine à café était sans gobelets, le personnel nous a conseillé de changé de bâtiment sauf que dans l'autre machine il n'y avait que des expressos",Janvier 2023,Commentaire envoyé le 10 janvier 2023,cheyenne
Domitille,8.0,France,Hôtel et chambre sympa mais le ménage laisse à désirer :(,"Hôtel très sympa, la décoration des chambres est vraiment top Les castmembers toujours aussi sympathiques","Le ménage n'était pas très bien fait dans la chambre, il restait des cacahuètes sur le sol :( Il y avait également une odeur de tabac froid dans la salle de bain, pour un hôtel non fumeur, ce n'est pas top... Et la porte de la chambre claquait dès que la porte menant vers l'extérieur était ouverte, donc le matin nous avons été réveillé dès 7h du matin par les vas et viens dans le couloir :(",Janvier 2023,Commentaire envoyé le 9 janvier 2023,cheyenne
Jessica,8.0,Espagne,Très bien,"L hôtel est super , la décoration est magnifique,  le lit super confortable et le personnel très aimable. Situé prés des parques avec navettes, très agréable.",Je n ai pas de points négatifs à dire.,Janvier 2023,Commentaire envoyé le 8 janvier 2023,cheyenne
Aurelie,7.0,France,Bien,c’est proche de Disney,c’est cher,Décembre 2022,Commentaire envoyé le 4 janvier 2023,cheyenne
Emmanuelle,9.0,France,On a passé un très bon moment !!,proximité du parc. décoration. propreté de la chambre. literie. calme,la ventilation du chauffage qui faisait du bruit.,Janvier 2023,Commentaire envoyé le 3 janvier 2023,cheyenne
Emile,7.0,France,Pratique mais onéreux,Emplacement à proximité du parc : top  Navettes gratuites et à bonne fréquence pour se rendre au parc. Chambre spacieuse et confortable,"Prix exorbitant - mais c’est Disney, on le sait en réservant. Offre restauration dans l’hôtel trop réduite.",Décembre 2022,Commentaire envoyé le 3 janvier 2023,cheyenne
Contant,8.0,France,Très bien,"Personnelle très agréable , a répondu à toutes mes questions . Ce n'est pas le plus chère , mais nous met bien dans l'ambiance. Très bien. Limite mieux que le Parc. Merci a tous.",Manque un peu d'insonorisation et malheureusement pour moi les rideaux ne sont pas assez occultant.,Décembre 2022,Commentaire envoyé le 30 décembre 2022,cheyenne
Nicaise,7.0,La Réunion,peut mieux faire,bonne décoration,très livrer à nous même pour arriver dans la chambre,Décembre 2022,Commentaire envoyé le 30 décembre 2022,cheyenne
Cassandra,8.0,France,Très bien,"La décoration intérieure sur thème de Toy Story est super. L'extérieur est tout aussi génial, on se croirait vraiment au far west. L'esprit de Noël est assurée à la réception avec sapins, musiques et guirlandes lumineuses. Autre point positif : l'hôtel est bien desservi avec une navette qui passe environ tout les quart d'heure pour aller aux parcs Disney.","La température de la chambre était un peu basse par rapport à la météo hivernale, et ce malgré le fait qu'on est augmenté le chauffage (réglé sur 27 degrés).",Décembre 2022,Commentaire envoyé le 29 décembre 2022,cheyenne
Zoé,8.0,Belgique,au top,"proximité du parc Disney, disponibilité des employés",chambre loin de la réception,Novembre 2022,Commentaire envoyé le 21 décembre 2022,cheyenne
Sylvie,9.0,France,Très bon séjour dans l'hotel CHEYENNE et envie d'y revenir,L'ensemble des prestations de l'hotel et le personnel,Un peu froid dans la chambre,Novembre 2022,Commentaire envoyé le 20 décembre 2022,cheyenne
Julien,7.0,La Réunion,Oui mais....,"Hotel bien situé par rapport au parc, navette gratuite pour le parc, décoration de la chambre sympathique","Personne pour nous renseigner le soir dans le hall d'accueil, La distance a parcourir a pied seuls avec nos grosses valises entre le hall et notre chambre, pas d'ascenseur pour les grosses valises . Équipement absent : pas de bouilloire, cafetière, ... Lit double trop petit 1.40 !",Décembre 2022,Commentaire envoyé le 16 décembre 2022,cheyenne
Julie,9.0,France,Rester dans la magie de Disney avec l'univers des cowboys,"Le cadre, la décoration de l'hôtel nous plonge dans l'univers Disney. Très appréciable pour les enfants",La chambre un peu loin du restaurant et animations surtout quand il fait froid,Décembre 2022,Commentaire envoyé le 14 décembre 2022,cheyenne
Marc,8.0,France,Sympa mais trop cher,La décoration,Le prix est beaucoup trop élevé en regard des prestations proposées.,Décembre 2022,Commentaire envoyé le 12 décembre 2022,cheyenne
Amélie,8.0,France,agréable surprise,"l’accueil du personnel, le resto, la propreté",,Novembre 2022,Commentaire envoyé le 9 décembre 2022,cheyenne
