,0,1,2,3,4,5,6,7
0,Amaury,10.0,Espagne,l’endroit idéal pour visiter le parc et séjourner,"qualité des chambres, literie et service",les prix sont très élevés,Janvier 2022,Commentaire envoyé le 16 janvier 2022
1,Sydjey,9.0,France,Fabuleux,La propreté des chambres les serviettes à disposition à la piscine les produit d'hygiène disponibles dans les chambre,Les chariot de serviettes dans les couloir nous avions du en pousser pour pouvoir rentrer dans notre chambre alors que du personnelle étais la ..,Janvier 2023,Commentaire envoyé le 10 janvier 2023
2,Valentine,10.0,France,Meilleur hôtel à DLP,"Ambiance calme, proche du parc, restaurant excellent, services gratuits (bagages montés dans les chambres)",,Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Fabien,10.0,France,magique,"le personnel très accueillant, le service super et les animations super puis très propre . franchement bravo a tout se qui y travaille .",juste le cousin a peut dur sa dépend t’es goût de chacun et le son de la télé pas très fort .,Janvier 2023,Commentaire envoyé le 10 janvier 2023
4,Patrick,10.0,France,idéal pour un noël à l'ambiance MARVEL....chapeau!,"design de l'hôtel , emplacement , petit déjeuner...",rien,Décembre 2022,Commentaire envoyé le 9 décembre 2022
5,Michael,10.0,France,Excellent,"Très propre, confortable, bien insonorisé . Déco au top",,Décembre 2022,Commentaire envoyé le 5 décembre 2022
6,Val,10.0,France,Juste magnifique!,"Superbe chambre, décoration magnifique, technologie au top",,Novembre 2022,Commentaire envoyé le 26 novembre 2022
7,Hélène,8.0,France,"Hotel bien rénové , emplacement idéal","l'accueil exceptionnel et la gentillesses des casts du club empire , le petit déjeuner dans la salle isolée : moins bruyant , plus rapide ...","la taille des lits ! comment peut on mettre des lits si petit dans un hôtel 4 étoiles ? ce n'ai vraiment pas normal , ce motif me questionnera pour mon futur choix d'hôtel ... le peux d'avantage avec le club level , avant on avait des fast pass gratuit , et le choix de nourriture au goûter était très faible ....",Novembre 2022,Commentaire envoyé le 24 novembre 2022
8,Déborah,10.0,Belgique,Une séjour agréable,"Accueil au top.  Personnel agréable, à l’écoute et de bon conseil.  Le restaurant Manhattan est très beau et bon.",Rien.  Juste dommage que le Hammam était hors service.,Novembre 2022,Commentaire envoyé le 15 novembre 2022
9,Adelin,9.0,France,Séjour très agréable au cours duquel on a vraiment l’impression d’être dans un cocon,"Le thème, la décoration dans les parties communes ET les chambres, les équipements, le confort, la proximité du parc et du Disney Village, le personnel",La vue sur les toits du centre de conférence avec en plus une fenêtre qui ne faisait que la moitié de la zone cachée par les rideaux,Novembre 2022,Commentaire envoyé le 14 novembre 2022
20,Mélanie,10.0,France,magique féerique merveilleux ! je recommande !,Tout était parfait ! un hôtel exceptionnel dans un cadre féérique ! c’était tout simplement magique !,,Novembre 2022,Commentaire envoyé le 14 novembre 2022
21,Sophie,9.0,France,Un séjour magique dans un superbe hôtel avec un personnel plus qu'aimable,,La salle de bain de la chambre en particulier la douche avec une faible pression de l'eau et la paroi vitrée non étanche à son seuil,Novembre 2022,Commentaire envoyé le 13 novembre 2022
22,Aymeric,10.0,France,Vraiment sublime,"Absolument tout du personnel a la restauration à la chambre rien à redire à part que je suis vraiment ravi d avoir eu la chance d y séjourné ,vraiment magnifique.bravo",J ai tout apprécié sauf de devoir partir,Novembre 2022,Commentaire envoyé le 10 novembre 2022
23,Lejeunes,10.0,France,Exceptionnel,L'ensemble de l'hôtel,Rien a dire,Novembre 2022,Commentaire envoyé le 10 novembre 2022
24,Kevin,7.0,France,bien mais cher,"les décors, les casts, la chambre",le prix. le fait qu’on nous a pas proposé de reduc au downtown car ma femme a fait une sleeve. les oreillers de la chambre trop mou. j’avais demandé que la chambre soit modifié pour l’anniversaire de ma femme et ça n’a pas été fait. nous n’avons pas eu de badge,Novembre 2022,Commentaire envoyé le 7 novembre 2022
25,Christel,7.0,Belgique,Dommage,Le personnel très souriant et  au petit soin pour tout lf monde. Bravo à eux 🏆,"La température trop fraîche dans le restaurant. J'ai d'ailleurs gardé ma veste. Et dommage pour le hammam qui était hors service. 2556 € pour 2 nuits (pour 1 adulte et 2 ados) sans petit déjeuner, sans entrées au parc (et devoir garder sa veste pour manger :-( pas top",Novembre 2022,Commentaire envoyé le 5 novembre 2022
26,Caroline,8.0,Belgique,bon séjour les enfants ont adoré,"la déco est exceptionnelle, les chambres sont agréables et le personnel sympathique. le décor fait rêver petits et grands enfants ✨",le prix est un peu élevé par nuit,Novembre 2022,Commentaire envoyé le 1 novembre 2022
27,Camille-anne,10.0,France,A faire pour célébrer quelque chose :),"L'aspect de l'hôtel, son calme et son confort.  Respect de la thématique marvel, dans une classe la plus totale.","La température de la chambre était trop élevée, j'ai eu du mal à la faire descendre.",Octobre 2022,Commentaire envoyé le 20 octobre 2022
28,Aurelie,10.0,France,Séjour luxueux dans une chambre superbe .,"Chambre au top , bien équipé , télévision intégré dans le miroir , café et thé,  eau de bienvenu .  Salle de bain au top avec bain à remous .  Bluetooth dans la salle de bain . chambre bien insonorisé avec vue sur le lac . A 5 min à pied du parc disney et du disney village .",,Octobre 2022,Commentaire envoyé le 16 octobre 2022
29,Cynthia,10.0,France,Exceptionnel,"Le thème qui continu dans les chambres, toutes les petites attentions",Rien du tout,Octobre 2022,Commentaire envoyé le 13 octobre 2022
30,Hélène,10.0,France,Endroit magique,Décors uniques et adéquats avec le thème et l'univers. Chambre très jolie et lit confortable. Magnifique vue. Dans le centre de Disney donc pratique.,Manque de peignoirs et chaussons,Octobre 2022,Commentaire envoyé le 11 octobre 2022
31,Yacazzi,10.0,France,Exceptionnel,"Très beau, tout est propre, personnel agréable!... Très bien situé.",,Octobre 2022,Commentaire envoyé le 6 octobre 2022
32,Marie-laure,10.0,France,séjour exceptionnel !,"Confort Chambre exceptionnel, lits très confortables, petit déjeuner très varié et personnel très accueillant!",,Septembre 2022,Commentaire envoyé le 29 septembre 2022
33,Laurence,10.0,Belgique,Exceptionnel,"L acceuil est exceptionnel, les decors et tableaux magnifique. Chambre tres grande. L attention quand on rentre dans la chambre. Endroit tres reposant apres avoir passer une journee a marcher.",Rien,Septembre 2022,Commentaire envoyé le 29 septembre 2022
34,Alexandra,8.0,France,Très bien,Le restaurant Manhattan est magnifique et délicieux,La pluie mais vous n'y êtes pour rien 😅,Septembre 2022,Commentaire envoyé le 27 septembre 2022
35,Karim,10.0,France,parfait,la décoration  l’accueil  la nourriture la piscine  c’est un ensemble notre séjour été partait  hâte de séjourner une autre fois,,Septembre 2022,Commentaire envoyé le 24 septembre 2022
36,Bertrand,10.0,France,magique,Hotel splendide accueil adorable,"un peu cher resto et bar, consommation 15€ coktail et petit dej (28€) et la nuit pour 4  a + de 700 ...",Septembre 2022,Commentaire envoyé le 21 septembre 2022
37,Alison,10.0,France,Héroïque ! Magique !,"Nous remercierons jamais assez Lisa, réceptionniste et fan de Marvel, pour son accueil et sa gentillesse qui a rendu notre séjour magique ! Tout est comme on l'espérait, si ce n'est mieux encore ! L'hôtel réserve des surprises à chaque coin de murs. Ce n'est pas pour rien, mais c'est un passage obligé pour tout les fans et au final, vous ne serez pas déçu. Le personnel est disponible et très agréable, la chambre était propre et géniale, préparez-vous à en prendre plein les yeux. Le retour à la réalité risque de piquer un peu ;).",,Septembre 2022,Commentaire envoyé le 14 septembre 2022
38,Arnaud,10.0,France,Tellement bien que l'on rêve de le refaire.,"Tout fut parfait, surtout l'accueil du personnel au petit déjeuner, dans les couloirs, pour le parcours de visite des œuvres exposées, à la piscine et à l'entrée.",Rien... si ce n'est qu'ayant réservé1 mois par avance nous n'avons pas eu de place pour le restaurant Marvel sur place. Mais sinon rien n'a été négatif.,Août 2022,Commentaire envoyé le 7 septembre 2022
39,Anne-laure,9.0,France,Incroyable !,"Le personnel est à l'image de Disney, rien n'est laissé au hasard. Le bonjour et le sourire des castmembers est TOUJOURS apprécié, merci !",Dommage que les peignoirs de soient pas fournis pour toutes les chambres lors du passage à la piscine.,Septembre 2022,Commentaire envoyé le 5 septembre 2022
40,Mariam,8.0,Bénin,beau,"agréable, lit bien confortables, personnel très gentil",je m’attendais à mieux en lien avec le prix,Août 2022,Commentaire envoyé le 30 août 2022
41,Céline,7.0,France,établissement propre mais où on ne se sent pas unique,"hotel proche du parc, avec une ambiance bar new-yorkais",chambre très sombre et hôtel où le client est impersonnel,Juillet 2022,Commentaire envoyé le 21 août 2022
42,Antonio,9.0,Suisse,week-end féerique,"Le cadre, les équipements, là décoration sont magnifiques",le prix très élevé. Et aucune réponse au mail envoyé avant mon départ,Août 2022,Commentaire envoyé le 20 août 2022
43,Pascal,10.0,France,Exceptionnel,Les décors,,Août 2022,Commentaire envoyé le 11 août 2022
44,Laurie,8.0,France,Très bien,,Nous avons été déçue de la rencontre avec les personnages dans hero station. Nous nous attendions à plus de personnages présents pour une réservation si prisée...,Août 2022,Commentaire envoyé le 9 août 2022
45,Laffont,10.0,France,Exceptionnel,"Petit déjeuner copieux. Propreté irréprochable , gentillesse du personnel. Accessibilité par rapport au parc Disneyland.",,Juillet 2022,Commentaire envoyé le 18 juillet 2022
46,Delphine,9.0,France,dépaysant,la décoration de L’hôtel et de la chambre la piscine le petit déjeuner l'accueil du personnel,j'ai moins apprécié le menu proposé le soir,Mai 2022,Commentaire envoyé le 11 juillet 2022
47,Lamia,9.0,France,Extra,Tout,,Juin 2022,Commentaire envoyé le 20 juin 2022
