,0,1,2,3,4,5,6,7
0,Laura,10.0,Belgique,Exceptionnel,Nous avons été surclassés donc c'était une très belle surprise.,Le seul bémol est que la chambre était froide malgré le changement du termostat.,Septembre 2021,Commentaire envoyé le 21 septembre 2021
1,Lucien,8.0,France,A faire,"Hôtel très jolie, personnel agréable, super vue de la chambre.",Chambre pas très propre (chaussette d'autres personnes sous le lit et chips par terre). Manque des joints dans la douche qui fuit de partout. Petit déjeuner vraiment trop chère pour les enfants de 10 et 5 ans (qui ne mange presque rien).,Janvier 2023,Commentaire envoyé le 10 janvier 2023
2,Stella,7.0,France,déçue car j’avais demandé une petite attention car le séjour était pour l’anniversaire de notre fils est : RIEN pas même,l’accueil était parfait  la décoration également,l’emplacement de la chambre. nous étions certes côté lac mais à l’extrémité de l’aile côté piscine derrière des sapins qui nous ne donne aucune vue! pas très cool !,Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Nathalie,7.0,France,super mais le prix de l hôtel est trop important alors qu il est vieillissant,le buffet. la localisation,propreté,Décembre 2022,Commentaire envoyé le 5 janvier 2023
4,Christelle,8.0,France,Très bien,"Personnel aux petits soins, chambre propre literie super confortable","La longueur des couloirs pour arriver à la chambre versus l'ascenseur le plus proche, avec une personne qui avait du mal à se déplacer c'était compliqué. Pas de dosette de café dans la chambre, pourtant la cafetière était bien présente ainsi que sa notice",Décembre 2022,Commentaire envoyé le 2 janvier 2023
5,Martine,7.0,France,très déçus nous ne reviendrons pas,hotel situé pres du parc lits confortables personnel souriant,personnel parlant limite français qui ne comprennent pas tjrs ce qu on leur dit très cher pour une chambre que l on peut prendre qu à partir de 15h (code de la chambre envoyé qu à 19h30) pour la rendre à 11h le matin il y avait soit disant une bouilloire  pratiquement pas de produits toilettes un vrai labyrinthe pour acceder aux chambres et pareil pour en ressortir contrôle des sacs 5 fois dans dans la journée ce qui gâche la magie du séjour,Décembre 2022,Commentaire envoyé le 26 décembre 2022
6,Julien,8.0,France,Très bien,"Les navettes pour accéder au parc, La taille de la chambre, La personnalisation de la télé.",R.a.s,Décembre 2022,Commentaire envoyé le 15 décembre 2022
7,Celine,6.0,France,Agréable,Û,,Décembre 2022,Commentaire envoyé le 14 décembre 2022
8,Diego,6.0,France,Agréable,la proximité du parc Disneyland Paris,"la qualité de la chambre n’était pas top, vieux équipements, rapport qualité prix n’est pas correct",Novembre 2022,Commentaire envoyé le 30 novembre 2022
9,Fabienne,6.0,Belgique,déçue qualité prix,l emplacement,la propreté,Novembre 2022,Commentaire envoyé le 18 novembre 2022
20,Pierre,6.0,France,très moyen par rapport au prix,très bon personnel dédié mais la sécurité fait du zèle,hôtel très vieillissant et pas de shampoing gel douche,Novembre 2022,Commentaire envoyé le 14 novembre 2022
21,Christine,8.0,France,Très bien,La décoration de la chambre est adorable. On a une bouilloire pour préparer du thé ou du café. On a un large choix au petit déjeuné. La piscine est top. Pas beaucoup de monde. La boutique dans l hôtel est super pratique.,La porte ne marchait pas bien. Quand on met le badge. Il ne s ouvre pas du premier coup. On a du ré essayer pleins de fois. La télé avait beaucoup d option en plus des chaînes normaux. Mais il fallait attendre longtemps pour passer d'un onglet a un autre.,Novembre 2022,Commentaire envoyé le 10 novembre 2022
22,Gilles,8.0,France,Comme une ambiance de croisière Disney,"L'ambiance nautique de l'hôtel et la qualité des infrastructures rendent cette hôtel disney très agréable. Tout est mis en place pour que l'on se sentent bien après une belle journée au parc. Piscine &  salle de sport ( serviettes fournis à discrétion ) , restaurant, bar et même une boutique Disney dans l'hôtel. Dans la chambre, machine à café senseo, thé et eau minéral.",Peut être le fait qu'on ne m'ait pas offert de badge en rapport avec la saison d'halloween :/ Mais sincèrement c'est vraiment pour trouver quelque chose !!,Octobre 2022,Commentaire envoyé le 1 novembre 2022
23,Nino,7.0,Suisse,très bon moment passé en famille,,je pense qu’il serait judicieux afin que l’on fasse un effort collectif concernant nos énergie d’éteindre les lumières à partir de minuit concernant la piscine extérieure et les guirlandes lumineuses,Octobre 2022,Commentaire envoyé le 19 octobre 2022
24,Anne-sophie,7.0,Suisse,"agreable, très couteux",le personnel,"vieux (join, accessoires) et cher  repas beaucoup trop cher pr les enfants",Octobre 2022,Commentaire envoyé le 14 octobre 2022
25,Charline,7.0,Belgique,Avis mitigé,"L'hôtel est très joli, le décor est détaillé.  Le lit double est confortable. Le monsieur qui nous a accueillit à l'accueil était très sympa. Le petit déjeuner était très copieux, il y a beaucoup de choix différents pour les viennoiseries et les pains, chaque région peut se faire le petit-déjeuner qu'il aime.","Lors de l'accueil, nous avons été accueilli par un monsieur très gentil, par contre une dame est venu l'interrompre plusieurs fois parce qu'elle avait fini sa journée et qu'il devait faire quelque chose avec elle... elle n'était pas souriante et a bien fait comprendre que nous étions dérangeant. Nous avions demandé un lit bébé dans la chambre, il y en avait un mais c'est un lit de voyage sans matelas supplémentaire, un lit vraiment pas confortable. Et dans la seconde chambre il y avait un lit très confortable et l'autre pas du tout, matelas très usé.   Dans une des chambres il y avait des mies de pain sur le sol et des mouchoirs par terre.  Il manque un frigo dans les chambres car par exemple nous avions du lait pour notre enfant à conserver au frais après ouverture... nous avons pu le jeter alors que le matin notre enfant devait boire du lait. Je trouve dommage d'avoir des détails comme ceux là négatif alors que c'est actuellement le 2 ème meilleur hôtel de ma chaîne Disneyland Paris",Septembre 2022,Commentaire envoyé le 10 octobre 2022
26,Andre,6.0,France,cher pour les prestations fournis,pas loin du parc Disney,pas conforme à ma réservation et pas à la hauteur d un 4 étoiles,Septembre 2022,Commentaire envoyé le 1 octobre 2022
27,Christophe,6.0,France,Cher et bof !,,"C'était l'usine ! L'hôtel etait noir de monde, la queue à la réception, des groupes bruyants, des couloirs interminables, signalisation insuffisante des ascenseurs, manque de souplesse du personnel appliquant des procédures rigides ...",Septembre 2022,Commentaire envoyé le 29 septembre 2022
28,Severine,6.0,Belgique,déçu de bcp de chose,personnel super gentil bien placer par rapport au parc Disney,"chambre déplorable, matelas TRÈS USÉS ( très mal au dos au réveil) sanitaire à refaire complètement  propreté correcte mais peux mieux faire au vu du prix de la nuitée 530€ sans petit déjeuner pour 4",Septembre 2022,Commentaire envoyé le 25 septembre 2022
29,Francois,8.0,Belgique,Très bien,la situation et les décors le confort,manque d’équipements pour le prix . pas de frigo ds la chambre une cafetière sans café . là contrôleur de la Clim qui ne marche pas très bien,Septembre 2022,Commentaire envoyé le 21 septembre 2022
30,Sylvie,7.0,France,Avis mitigé,Hôtel : magnifique. Très belle décoration. Parties communes et restaurants très agréables,"La chambre : absolument pas la hauteur du prix. Absence de produits de toilettes, de nécessaire à cafe-the-tisane. Les chaînes Disney de la TV étaient indisponibles. Linge de toilette vieillissant. Besoin général d'un rafraichissement. Ne correspond pas à une chambre d'hôtel 4****",Août 2022,Commentaire envoyé le 31 août 2022
31,Fatima,7.0,Belgique,Agréable,La chambre et le déjeuner,,Juillet 2022,Commentaire envoyé le 15 août 2022
32,Jack,7.0,Belgique,Prix élevé mais totalement justifié,"Déjeuner de qualité, service rapide, personnel sympa et disponible.",Pas de frigo dans la chambre dommage.,Août 2022,Commentaire envoyé le 7 août 2022
33,Maëva,8.0,France,excellent,"la déco, la piscine",rien,Août 2022,Commentaire envoyé le 4 août 2022
34,Rosetta,8.0,France,agréable mais manque d animation,le décor la propreté,pas de personnages Disney,Juin 2022,Commentaire envoyé le 15 juillet 2022
35,Jean,6.0,France,très cher sans raison,"pas grand chose, c’est vétuste , les salles de bains sont pitoyables ,le mobilier est dans un état pitoyable . bref pour le prix peu mieux faire …","états du mobiliers dans les chambres , le service",Juillet 2022,Commentaire envoyé le 8 juillet 2022
36,Lionel,7.0,France,Bien mais trop cher,La localisation,Le petit déjeuner est vraiment hors de prix,Juillet 2022,Commentaire envoyé le 8 juillet 2022
37,Brahim,8.0,France,Très bien,Belle hôtel bon emplacement,Les Lits devraient être plus large,Juin 2022,Commentaire envoyé le 26 juin 2022
38,Brice,7.0,France,je ne passerais plus par booking pour mes vacances,Disneyland,nous avons louer une chambre supérieur avec terrasse je cherche toujours la terrasse … ne louer pas de chambre avec terrasse quand celle ci est inexistante,Juin 2022,Commentaire envoyé le 17 juin 2022
39,Jessica,8.0,La Réunion,Super malgré quelques points à améliorer,"Le personnel est extrêmement agréable, tout est fait pour que nous ayons un accueil chaleureux","Plateau de courtoisie des anciens occupants non débarrassé, pas de dosette pour la cafetière, salle de bain vieillissante (distributeur de savon et porte serviettes cassés)",Juin 2022,Commentaire envoyé le 15 juin 2022
