,0,1,2,3,4,5,6,7
0,Jeremy,10.0,Belgique,Bel univers Cars,Belle décoration thématique,Il manque un petit frigo dans la chambre,Mars 2022,Commentaire envoyé le 23 mars 2022
1,Fiona,8.0,Belgique,j’ai adorer,tout,manque de frigo,Janvier 2023,Commentaire envoyé le 10 janvier 2023
2,Charles,9.0,France,Fabuleux,"Le cadre,  l'accueil et la proximité du parc disney",Rien,Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Karine,8.0,Suisse,bon séjour,la décoration et le rapport qualité prix,le buffet de la cantina est un peu excessif,Janvier 2023,Commentaire envoyé le 10 janvier 2023
4,Lucienne,7.0,Belgique,Bien,"L'endroit Pour arrivé Au Parc, très bien",,Novembre 2022,Commentaire envoyé le 10 janvier 2023
5,Geraldine,7.0,Belgique,Bien,nous étions très bien situé proche de le rivière et donc un accès facile au parc et au disney village,"chambre assez vétuste, radiateur très compliqué a allumer, ma réservation et celle d’une autre personne on été mélangé.. à 23h30 impossible d’accéder à notre chambre dû à un problème de gestion des resa par l’hôtel.",Janvier 2023,Commentaire envoyé le 10 janvier 2023
6,Coraline,8.0,Belgique,chouette,emplacement et personnel,souci réservation et chambre propre mais limite,Janvier 2023,Commentaire envoyé le 10 janvier 2023
7,Coraline,8.0,Belgique,chouette on reviendra,la gentillesse du personnel,souci à la réservation mais problème vite résolu,Janvier 2023,Commentaire envoyé le 10 janvier 2023
8,Fanny,8.0,France,Chaleureux,"belle découverte, c’était propre, bien accessible, parfait pour être dans le thème Disney",rien,Janvier 2023,Commentaire envoyé le 9 janvier 2023
9,Andreia,8.0,Luxembourg,3 jours à disney vraiment magiques!,"La décoration était parfaite, tout petit détail était simplement magique!","rien à dire, pour un hôtel 2 étoiles il est vraiment bien!",Janvier 2023,Commentaire envoyé le 9 janvier 2023
20,Marie-ange,7.0,France,Bien,Chambre spacieuse. Très bon accueil à la réception. Personnel agréable. Trés bon petit déjeuner. Facilité d'accés pour la  navette en direction du parc,"Chauffage moyen dans la chambre alors que nous avons séjourné le premier week-end de décembre et qu'il faisait froid . Obligation de tel à la réception pas de papier toilette ni de savon à disposition, mais tout a été réglé quand nous avons tel à la réception.",Décembre 2022,Commentaire envoyé le 8 janvier 2023
21,Kriiiscb,7.0,Belgique,Simple et efficace.,Chambre rendue à temps et située dans une endroit assez calme avec parking proche. Machine à café proche de la chambre. Chemin le long du Rio Grande facilement accessible. Hotel avec une decoration simple mais efficace.,"Seconde reservation dans cet hotel via booking et seconde fois logé dans la même rangée de batiment... les plus éloignés des parcs. Dommage, même test avec Sequoia lodge voisin, idem... Dommage que DLP organise ses occupations se la sorte.",Janvier 2023,Commentaire envoyé le 8 janvier 2023
22,Odette,9.0,Belgique,Fabuleux,Tout,Rien,Janvier 2023,Commentaire envoyé le 6 janvier 2023
23,Vanessa,8.0,Belgique,Bon séjour.,Nous n'avons pas pris le déjeuner.,L'attente pour notre enregistrement,Janvier 2023,Commentaire envoyé le 6 janvier 2023
24,Nada,7.0,France,Super séjour,proximité de Disneyland parc,l’emplacement  de bâtiment,Janvier 2023,Commentaire envoyé le 6 janvier 2023
25,Aurelie,7.0,Belgique,Bien,,L'état de salle bain laissait à désirer et fort petite,Janvier 2023,Commentaire envoyé le 5 janvier 2023
26,Vanessa,8.0,Belgique,Très bien,"Personnels accueillant. Réponds rapidement aux questions. Accès très facile, navettes régulières pour se rendre sur le parc",Ok,Janvier 2023,Commentaire envoyé le 5 janvier 2023
27,Alexandra,8.0,France,Carstatique !!,"l’ambiance, la proximité des parcs",les navettes archi blindées,Décembre 2022,Commentaire envoyé le 3 janvier 2023
28,Marie,7.0,France,top,déjà plusieurs nuits dans cet hôtel,le bruit dans les couloirs,Janvier 2023,Commentaire envoyé le 3 janvier 2023
29,Barbara,8.0,France,Le séjour en famille était super à refaire.,Le site était très pittoresque,,Décembre 2022,Commentaire envoyé le 2 janvier 2023
