,0,1,2,3,4,5,6,7
0,Laura,10.0,Allemagne,,"Got the golden forest room! I felt it was a very good value especially after pricing hotels at Disney World.  Breakfast every morning, free non alcoholic drinks in the evening, an extra fast pass, close to parks & downtown, extra magic hours, I like being in the main bldg. The lounge area with fireplace is cozy & relaxing & has table service. Room was clean, beds a bit hard, but I kinda expect that in European hotels. The breakfast is typically European & I am fine with that.  Americans coming from states may not be used to it & have a difficult time with it, but breakfast just fine, plentiful & varied. Great French toast!  The room was a bit warm at night but we were on top floor soo... only complaint was I wish I could have opened the window wider or that there were 2 windows to open rather than one.  Safety first I guess... Overall we loved it!",,Février 2020,Commentaire envoyé le 17 février 2020
1,Madeliine,8.0,France,cher pour les prestations proposées. le matelas aurait besoin d’être changé et la poignée de baignoire revissée.,le personnel très agréable et la proximité avec disneyland,"la literie, matelas vraiment pas confortable avec une barre plus dure au milieu du lit et la poignée de la baignoire qui bouge.",Janvier 2023,Commentaire envoyé le 10 janvier 2023
2,Cedric,7.0,France,nous avons passé un séjour agréable et comfortable,le confort de la literies et l’emplacement boisé du site,"pour le prix, il manque une ou deux bouteilles d’eau dans la chambre",Janvier 2023,Commentaire envoyé le 10 janvier 2023
3,Annelise,8.0,La Réunion,un très beau séjour à refaire.,"le décor, la proximité avec le parc et le petit déjeuner",rien,Janvier 2023,Commentaire envoyé le 7 janvier 2023
4,Anne,7.0,France,Bon séjour,l'amabilité du personnel,les équipements,Octobre 2022,Commentaire envoyé le 6 janvier 2023
5,Jeremy,9.0,France,"Génial, surtout en période de Noel.","Ambiance de Noel, chaleureux, services et proximité des parcs. Personnel au top !",Chambre confortable mais veillotte. Mérite un petit rafraichissement...,Janvier 2023,Commentaire envoyé le 6 janvier 2023
6,Céline,8.0,Suisse,chouette séjour nous reviendrons,"proximité avec le parc, accessibilité à pied, piscine avec un toboggan, chambre spacieuse",Ascenseur quasi pas utilisable,Janvier 2023,Commentaire envoyé le 2 janvier 2023
7,Julie,8.0,Belgique,Très bien,Proximité du parc.,Les prix de plus en plus elever .,Décembre 2022,Commentaire envoyé le 31 décembre 2022
8,Georges,7.0,Belgique,Séjour agréable en famille,Hôtel bien situé et thématisé. Le personnel est très sympathique. Le bar et le repas du soir (buffet) sont top en hiver. La piscine est très agréable également.,L’hôtel (surtout les chambres) mériterait une rénovation. Nous savions cependant qu’il était vieillissant donc nous n’étions pas surpris. Les lits ne sont pas confortables.,Décembre 2022,Commentaire envoyé le 30 décembre 2022
9,Sandrine,8.0,France,parfait,le golden forest,les autres clients sans notions de respect!,Décembre 2022,Commentaire envoyé le 29 décembre 2022
20,Dammaretz,8.0,France,très agréable,"la proximité du parc, les équipements comme la piscine et le personnel très serviable. bon rapport qualité prix.",la salle de bain qui mérite d’être rafraîchie ainsi que la décoration de la chambre.,Octobre 2022,Commentaire envoyé le 27 décembre 2022
21,Sandie,9.0,France,Séjour fabuleux,"Hôtel situé dans un cadre exceptionnel au milieu des sapins. Nous avons apprécié le calme, la propreté de l'hôtel, le personnel accueillant et souriant. De plus l'hôtel est proche de Disney Village et des parcs avec des navettes gratuites mises à disposition ou possibilité de s'y rendre à pied.",,Décembre 2022,Commentaire envoyé le 23 décembre 2022
22,Van,7.0,France,Bon séjour,Bon hôtel. Chambre propre. Lit confortable.,Dommage que nous étions dans un des bâtiments annexes. Il n y avait pas de distributeur de boissons chaudes. Nous devions nous déplacer dans le bâtiment principal et pas de bouilloire.,Décembre 2022,Commentaire envoyé le 20 décembre 2022
23,Fiona,7.0,France,Super séjour de Noël au parc,"Le séjour, la décoration de l'hôtel. Super bien décoré pour Noël comme à chaque fois.  Confort des chambres et des lit. température nickel ni trop chaud ni froid.","La distance de la chambre à la réception, nous étions dans les lodges du fond, la dernière pour le prix payé.. Pas de carte de bienvenue,  badge refusé par la cast member. Chambre pas super propre, draps déchirés.. Cast du soir qui nous envoie balader.. Heureusement qu'une responsable a pris en charge notre mécontentement en faisant un geste pour faire au mieux notre séjour. Deux fois que nous avons fait cet hôtel et déçus 2 fois..",Décembre 2022,Commentaire envoyé le 19 décembre 2022
24,Caroline,8.0,France,Très bien,Très bel hôtel et bien situé pour le parc Disney 5 min à pied de l’entrée,Le bruit extérieur une partie de la nuit  Nous étions côté marchandises,Décembre 2022,Commentaire envoyé le 18 décembre 2022
25,Sebastien,9.0,France,Agréable séjour en famille,Après plusieurs séjours au Sequoia nous avons passé un agréable moment comme toujours.Pendant  la période de Noël l'hôtel est très bien décoré et très chaleureux. La piscine refaite est magnifique.,L absence de bouilloire et de cafetière dans les chambres et il n y a plus de gel douche Disney dans la  salle de bain pour les  enfants 😞,Décembre 2022,Commentaire envoyé le 8 décembre 2022
26,Julia,7.0,France,Bien,Hôtel bien décoré  Proximité avec le parc disney  Chambre bien équipée,Restauration très et trop chère,Décembre 2022,Commentaire envoyé le 4 décembre 2022
27,Laurianne,9.0,France,Fabuleux,"Cast members très agréable et aux petits soins, nous avons  passé un beau, bien que court, séjour dans cet hôtel. Les avantages des chambres Golden forest club sont de véritables plus qui valent le coup. Petit déjeuner avec beaucoup de variétés disponibles. Très belle vue depuis la chambre.",Lit un peu petit pour une chambre à ce tarif. Le lit double ne faisait même pas la taille standard (140*190). Oreillers peu confortables. Ce sont les seuls points que je pourrais reprocher à ce séjour.,Novembre 2022,Commentaire envoyé le 2 décembre 2022
28,Elodie,7.0,France,génial,"j'ai adoré la proximité avec le parc disneyland et le fait que je n'est pas eu a changer de chambre entre mon séjour et ma nuit sèche le personnel adorable, le cadre aussi seul regret de ne pas avoir essayer la piscine interieur","avec le respect des normes pour les températures il fait extrêmement froid dans les chambres  meme si la ventilation est sur 19 degrès cela ne compense pas avec le froid extérieur entre le froid extérieur et l’intérieur peu de différence et de grosse difficulté pour mes enfants et moi même a nous rechauffer après une journée dehors ""obligé"" d'acheté des plaids pour couvrir mon fils dans le lit parapluie car le pyjama que j'avais pris n'était pas assez chaud mais en soit ce n'est pas l’hôtel qui a décidé de bloqué le température des chauffages peut être revoir l'isolation ou rajouté un chauffe serviette dans la salle de bain",Novembre 2022,Commentaire envoyé le 1 décembre 2022
29,Elodie,8.0,France,Agréable,"L hôtel est idéalement situé,  à 10 minutes à pied du parc. Le décor et l'immersion sont idéals",L hôtel est vieillot ainsi que les équipements.  Au prix de la nuit on s'attend à mieux,Novembre 2022,Commentaire envoyé le 21 novembre 2022
30,Romain,8.0,Belgique,Très bien,"l’endroit, l’environnement",prise en charge le matin à l’accueil assez long,Novembre 2022,Commentaire envoyé le 20 novembre 2022
